incident_id,incident_type,person_trapped,injury_reported,fire_present,hospital_affected,elderly_or_children,hazardous_material,building_collapse_flag,critical_infrastructure,num_sources,ground_confirmed,agreement_ratio,recency_minutes,num_reports,severity_score,severity_class,confidence_score
260,industrial_accident,0,1,0,1,0,1,1,0,3.0,,1.0,156.0,3,100,CRITICAL,100.0
261,medical_emergency,0,0,0,0,0,0,0,1,2.0,1.0,0.8,164.0,5,20,LOW,79.0
262,chemical_leak,0,1,0,0,0,1,0,0,3.0,0.0,0.98,78.0,11,87,CRITICAL,94.6
263,flood,0,1,0,0,0,0,0,0,3.0,1.0,0.81,15.0,8,37,MEDIUM,100.0
264,chemical_leak,0,0,0,0,1,1,0,0,3.0,0.0,,39.0,13,60,HIGH,100.0
265,medical_emergency,0,0,0,0,0,0,0,0,1.0,0.0,1.0,131.0,6,0,LOW,47.8
266,medical_emergency,0,0,0,0,0,0,0,1,3.0,0.0,0.7,74.0,12,34,MEDIUM,92.4
267,road_blockage,0,1,0,0,0,0,0,0,1.0,0.0,0.91,11.0,23,50,MEDIUM,55.8
268,power_outage,0,0,0,0,1,0,0,0,3.0,0.0,0.9,3.0,8,23,LOW,100.0
269,chemical_leak,0,0,0,0,0,1,1,0,1.0,0.0,0.88,137.0,6,83,CRITICAL,47.9
270,building_collapse,0,1,0,0,1,0,1,0,3.0,1.0,0.68,35.0,29,100,CRITICAL,100.0
271,road_blockage,0,0,0,1,0,0,0,0,2.0,1.0,0.59,176.0,8,36,MEDIUM,78.9
272,medical_emergency,0,0,0,0,1,0,0,0,2.0,1.0,0.8,105.0,8,37,MEDIUM,89.7
273,chemical_leak,0,0,0,0,1,1,0,0,3.0,0.0,0.42,68.0,8,63,HIGH,80.4
274,chemical_leak,1,0,0,0,0,1,0,0,2.0,0.0,0.69,108.0,4,95,CRITICAL,69.2
275,fire,0,1,1,0,0,0,0,0,2.0,0.0,0.83,,10,99,CRITICAL,70.1
276,medical_emergency,0,1,0,1,1,0,0,0,1.0,1.0,0.39,87.0,5,89,HIGH,65.0
277,power_outage,0,0,0,0,0,0,0,1,2.0,0.0,0.75,157.0,19,22,LOW,65.2
278,road_blockage,0,1,0,0,0,1,0,0,3.0,0.0,0.91,61.0,9,73,HIGH,98.1
279,industrial_accident,1,0,0,0,0,1,0,0,3.0,0.0,0.33,96.0,7,100,CRITICAL,78.8
280,flood,1,0,0,0,0,0,0,0,1.0,1.0,0.84,2.0,10,51,MEDIUM,88.7
281,flood,0,0,0,0,0,0,0,0,3.0,0.0,0.89,,10,1,LOW,89.8
282,industrial_accident,1,0,0,0,0,0,0,0,1.0,1.0,0.63,90.0,17,59,HIGH,66.7
283,power_outage,1,1,0,0,1,0,0,0,3.0,0.0,0.7,,8,100,CRITICAL,84.1
284,industrial_accident,0,0,0,0,0,1,0,1,1.0,0.0,0.62,53.0,8,74,HIGH,47.5
285,power_outage,0,0,0,0,0,0,0,0,3.0,1.0,0.99,29.0,21,0,LOW,100.0
286,building_collapse,0,0,0,0,0,0,1,0,3.0,0.0,0.71,149.0,13,64,HIGH,86.3
287,building_collapse,0,1,0,0,1,0,1,0,2.0,0.0,0.7,,7,100,CRITICAL,74.7
288,industrial_accident,1,0,0,0,1,1,0,0,,1.0,0.79,87.0,8,100,CRITICAL,72.0
289,flood,0,0,0,0,0,0,0,0,2.0,1.0,0.59,103.0,19,3,LOW,93.0
290,flood,0,1,0,1,0,1,0,0,1.0,0.0,0.62,32.0,10,100,CRITICAL,50.2
291,power_outage,0,0,0,0,1,0,0,0,2.0,0.0,0.6,33.0,17,15,LOW,67.0
292,chemical_leak,1,0,1,0,0,1,0,0,1.0,0.0,0.92,137.0,17,100,CRITICAL,44.0
293,power_outage,0,0,0,1,0,0,0,0,2.0,0.0,1.0,85.0,11,22,LOW,79.7
294,road_blockage,0,0,0,0,0,0,0,1,1.0,1.0,0.52,179.0,7,22,LOW,65.4
295,medical_emergency,0,0,0,0,0,0,0,0,2.0,,0.37,20.0,4,0,LOW,99.4
296,chemical_leak,1,0,0,0,1,1,0,0,2.0,0.0,0.89,5.0,15,100,CRITICAL,71.8
297,fire,0,0,1,0,0,0,0,0,2.0,0.0,1.0,134.0,7,36,MEDIUM,80.5
298,medical_emergency,0,1,0,0,0,0,0,0,2.0,1.0,0.51,29.0,11,35,MEDIUM,95.0
299,flood,0,1,0,0,1,0,0,0,1.0,1.0,0.61,176.0,7,54,MEDIUM,60.8
300,road_blockage,0,0,0,0,0,0,0,0,3.0,0.0,0.42,120.0,6,0,LOW,80.6
301,fire,1,0,1,1,0,0,0,1,1.0,0.0,0.83,111.0,16,100,CRITICAL,39.2
302,flood,0,0,0,0,0,0,1,0,3.0,1.0,0.93,138.0,4,56,HIGH,100.0
303,building_collapse,0,1,0,0,0,0,1,0,3.0,0.0,1.0,132.0,5,86,CRITICAL,93.4
304,industrial_accident,0,0,0,1,0,1,0,0,2.0,0.0,1.0,18.0,13,77,HIGH,79.5
305,fire,1,1,1,0,1,0,0,0,2.0,0.0,0.58,122.0,7,100,CRITICAL,64.2
306,medical_emergency,0,0,0,0,1,0,0,0,1.0,0.0,0.65,94.0,13,25,LOW,47.5
307,chemical_leak,0,0,0,0,1,1,0,1,2.0,0.0,0.56,19.0,7,82,CRITICAL,62.0
308,industrial_accident,0,0,0,0,1,1,0,1,3.0,0.0,0.68,115.0,17,89,CRITICAL,82.4
309,fire,0,0,1,0,0,0,0,0,,1.0,0.52,140.0,10,60,CRITICAL,93.3
310,power_outage,0,0,1,0,0,0,1,0,3.0,0.0,0.62,18.0,8,100,CRITICAL,83.0
311,road_blockage,0,0,0,0,0,0,0,0,1.0,1.0,0.58,176.0,6,0,LOW,75.9
312,flood,0,0,0,0,0,0,0,0,2.0,0.0,0.94,136.0,15,0,LOW,70.4
313,medical_emergency,1,0,0,0,1,0,0,0,1.0,0.0,0.97,151.0,9,77,MEDIUM,50.2
314,building_collapse,0,0,1,1,0,0,1,0,1.0,0.0,0.72,174.0,14,100,CRITICAL,41.4
315,flood,0,1,0,0,0,0,0,0,3.0,0.0,1.0,49.0,13,33,MEDIUM,100.0
316,medical_emergency,0,0,0,1,1,0,0,0,2.0,0.0,,35.0,14,54,MEDIUM,71.7
317,power_outage,0,0,0,0,0,0,0,0,,1.0,0.97,147.0,51,0,LOW,100.0
318,power_outage,1,0,0,0,0,0,0,0,1.0,0.0,0.74,60.0,14,49,MEDIUM,53.9
319,road_blockage,0,0,0,0,1,0,0,0,1.0,0.0,,124.0,8,13,LOW,43.4
320,building_collapse,1,0,0,0,0,0,1,0,2.0,0.0,0.61,94.0,12,100,CRITICAL,69.1
321,chemical_leak,0,0,0,0,0,1,0,0,1.0,0.0,1.0,90.0,21,60,HIGH,49.4
322,fire,0,0,1,0,0,0,0,0,2.0,0.0,0.52,20.0,10,55,MEDIUM,72.1
323,fire,0,1,1,0,0,0,0,1,1.0,1.0,1.0,133.0,7,100,CRITICAL,86.7
324,industrial_accident,0,0,0,0,0,1,0,0,,0.0,0.78,85.0,11,38,MEDIUM,100.0
325,flood,0,1,0,0,0,0,0,0,1.0,1.0,0.85,108.0,7,49,MEDIUM,76.5
326,road_blockage,0,1,0,0,1,0,0,0,1.0,1.0,0.86,64.0,9,59,HIGH,82.2
327,power_outage,0,0,1,0,0,0,0,0,2.0,0.0,0.95,23.0,10,32,MEDIUM,79.5
328,power_outage,0,0,0,0,0,0,0,0,3.0,1.0,0.68,11.0,10,1,LOW,100.0
329,chemical_leak,0,0,0,0,0,1,0,0,2.0,1.0,0.54,8.0,10,52,MEDIUM,90.2
330,building_collapse,0,0,0,1,0,1,1,0,2.0,0.0,0.85,75.0,9,100,CRITICAL,86.6
331,power_outage,0,0,0,0,0,0,0,0,3.0,0.0,1.0,42.0,21,1,LOW,98.7
332,flood,0,0,0,0,1,0,0,0,2.0,0.0,0.72,177.0,5,16,LOW,69.8
333,power_outage,0,0,0,1,0,0,0,1,3.0,0.0,,105.0,17,61,HIGH,99.1
334,road_blockage,0,0,0,0,0,0,0,0,1.0,1.0,0.52,30.0,15,15,LOW,74.1
335,power_outage,0,0,1,0,0,0,0,0,3.0,0.0,0.57,104.0,15,50,MEDIUM,86.0
336,chemical_leak,1,0,1,0,1,1,0,1,2.0,0.0,,77.0,5,100,CRITICAL,78.4
337,industrial_accident,1,0,0,0,0,1,0,0,2.0,0.0,0.9,168.0,6,93,CRITICAL,67.6
338,fire,0,0,1,0,0,0,0,0,2.0,0.0,0.76,107.0,9,48,MEDIUM,71.9
339,fire,0,1,1,0,1,0,0,0,1.0,1.0,0.58,67.0,11,98,CRITICAL,76.7
340,flood,0,1,0,1,0,0,0,0,3.0,0.0,1.0,155.0,9,67,HIGH,88.0
341,fire,0,1,1,0,0,0,0,0,1.0,0.0,0.85,18.0,27,85,CRITICAL,62.8
342,flood,0,0,1,0,1,0,0,0,2.0,1.0,0.82,100.0,41,73,HIGH,98.4
343,road_blockage,1,0,0,0,1,0,0,0,,1.0,0.76,11.0,9,73,HIGH,100.0
344,road_blockage,0,0,0,0,1,0,0,0,2.0,0.0,0.64,166.0,26,13,LOW,56.8
345,road_blockage,0,1,0,0,1,0,0,0,3.0,0.0,0.8,122.0,9,66,HIGH,92.5
346,power_outage,0,1,0,0,0,0,0,0,2.0,1.0,0.81,27.0,11,34,MEDIUM,100.0
347,fire,1,0,1,0,0,0,0,0,2.0,0.0,0.54,66.0,7,100,CRITICAL,62.8
348,building_collapse,0,0,0,1,0,0,1,1,2.0,1.0,0.82,179.0,14,100,CRITICAL,84.8
349,fire,1,0,1,0,1,0,0,0,1.0,0.0,0.67,,17,100,CRITICAL,53.3
350,industrial_accident,0,0,1,0,0,1,0,0,2.0,0.0,0.48,71.0,10,100,CRITICAL,60.7
351,industrial_accident,1,0,1,0,1,1,0,0,2.0,1.0,0.78,127.0,11,100,CRITICAL,95.0
352,industrial_accident,0,0,0,0,1,1,0,0,1.0,0.0,0.82,14.0,21,75,HIGH,58.2
353,road_blockage,0,1,0,0,1,1,0,0,2.0,1.0,,,6,95,CRITICAL,95.0
354,power_outage,0,0,0,0,0,1,0,1,2.0,1.0,,118.0,12,65,HIGH,95.9
355,medical_emergency,1,1,0,0,1,0,0,0,3.0,0.0,0.79,12.0,7,100,CRITICAL,100.0
356,chemical_leak,0,0,1,0,0,1,0,0,1.0,0.0,1.0,128.0,10,88,CRITICAL,55.7
357,building_collapse,1,0,0,0,0,0,1,1,2.0,0.0,0.67,,6,100,CRITICAL,80.2
358,industrial_accident,0,0,0,1,0,0,0,0,3.0,1.0,0.86,113.0,7,28,LOW,100.0
359,power_outage,1,0,0,0,1,0,0,0,3.0,0.0,0.84,96.0,14,79,CRITICAL,84.0
360,chemical_leak,0,1,0,1,0,1,0,0,3.0,1.0,0.99,,8,100,CRITICAL,100.0
361,power_outage,0,1,0,0,0,0,1,0,2.0,0.0,0.62,14.0,10,93,CRITICAL,71.8
362,fire,0,1,1,0,0,0,0,0,1.0,0.0,0.52,140.0,7,86,CRITICAL,43.1
363,industrial_accident,0,0,0,0,0,1,0,0,3.0,0.0,0.51,127.0,29,41,MEDIUM,83.9
364,chemical_leak,0,0,0,0,0,1,0,0,1.0,1.0,0.59,101.0,7,45,MEDIUM,75.2
365,fire,0,0,0,0,1,0,0,0,3.0,0.0,0.84,162.0,19,24,LOW,85.5
366,power_outage,0,1,0,0,1,0,0,0,2.0,0.0,0.76,16.0,11,66,HIGH,72.3
367,industrial_accident,0,1,0,1,0,1,0,1,3.0,0.0,,104.0,11,100,CRITICAL,79.4
368,chemical_leak,0,0,0,0,1,1,0,0,2.0,0.0,0.5,22.0,8,72,HIGH,74.4
369,fire,0,0,1,1,0,0,0,0,3.0,0.0,0.56,85.0,6,73,HIGH,84.1
370,flood,0,1,0,0,0,0,0,0,1.0,0.0,0.62,78.0,8,57,HIGH,45.6
371,power_outage,1,1,0,1,0,0,0,0,2.0,1.0,0.93,73.0,8,100,CRITICAL,94.6
372,road_blockage,1,0,0,0,0,0,0,0,,0.0,0.94,89.0,11,53,MEDIUM,85.9
373,road_blockage,0,1,0,0,0,0,0,0,3.0,1.0,0.85,61.0,9,44,MEDIUM,100.0
374,chemical_leak,0,0,0,0,0,1,0,0,2.0,0.0,0.98,166.0,6,54,MEDIUM,69.6
375,chemical_leak,0,0,0,0,1,1,0,0,2.0,,0.54,167.0,9,54,MEDIUM,59.3
376,road_blockage,0,0,0,0,0,0,0,0,1.0,0.0,0.78,132.0,9,14,LOW,47.0
377,power_outage,0,1,0,0,0,0,0,0,1.0,0.0,0.83,26.0,19,31,HIGH,69.1
378,industrial_accident,0,1,0,0,1,1,0,0,1.0,0.0,0.68,159.0,12,91,CRITICAL,29.1
379,fire,0,1,1,0,0,0,0,0,3.0,0.0,0.58,178.0,31,88,CRITICAL,70.3
380,flood,1,0,0,0,0,1,0,0,1.0,0.0,,121.0,4,100,CRITICAL,51.4
381,flood,0,0,0,0,0,0,0,0,1.0,0.0,0.89,157.0,8,6,LOW,47.7
382,industrial_accident,0,0,0,0,0,1,0,0,2.0,0.0,0.64,5.0,13,36,MEDIUM,72.7
383,medical_emergency,1,0,0,0,0,0,0,0,,1.0,0.8,101.0,12,53,MEDIUM,100.0
384,chemical_leak,0,0,0,0,0,1,0,1,1.0,1.0,0.88,69.0,23,76,HIGH,81.1
385,road_blockage,0,0,0,0,1,0,0,1,1.0,1.0,0.53,154.0,9,44,MEDIUM,62.0
386,chemical_leak,0,1,1,0,0,0,0,0,,0.0,0.5,26.0,11,91,CRITICAL,86.7
387,flood,0,1,0,0,0,0,1,1,1.0,0.0,0.1,110.0,19,100,CRITICAL,16.7
388,medical_emergency,1,1,0,0,0,0,0,0,1.0,1.0,0.9,170.0,7,83,CRITICAL,74.0
389,industrial_accident,0,1,0,0,0,1,0,0,1.0,1.0,0.89,106.0,9,93,CRITICAL,68.2
390,flood,0,0,0,0,1,0,0,0,3.0,0.0,0.93,142.0,8,13,LOW,90.1
391,medical_emergency,0,1,1,0,0,0,0,0,3.0,0.0,,86.0,8,69,HIGH,100.0
392,building_collapse,1,0,0,0,1,0,1,0,1.0,1.0,0.66,72.0,14,100,CRITICAL,72.3
393,industrial_accident,0,0,0,0,0,1,1,0,1.0,0.0,,79.0,12,93,CRITICAL,54.4
394,flood,1,0,0,0,0,0,0,0,3.0,0.0,0.8,6.0,10,66,HIGH,90.2
395,road_blockage,1,0,1,0,0,0,1,0,1.0,0.0,0.89,132.0,9,100,CRITICAL,47.8
396,flood,0,0,0,0,1,0,0,0,1.0,0.0,0.83,109.0,11,30,LOW,60.2
397,industrial_accident,0,0,0,0,0,1,1,0,2.0,0.0,0.95,1.0,9,100,CRITICAL,79.6
398,chemical_leak,0,0,0,0,0,1,0,0,2.0,0.0,1.0,106.0,7,51,MEDIUM,77.3
399,road_blockage,1,0,0,0,0,0,0,1,2.0,0.0,0.83,100.0,21,64,HIGH,69.4
400,flood,0,1,0,0,0,0,0,0,2.0,1.0,0.47,36.0,10,41,MEDIUM,84.1
401,flood,0,1,1,0,0,0,0,0,3.0,1.0,0.9,79.0,51,91,CRITICAL,100.0
402,power_outage,0,0,0,0,1,0,0,0,1.0,0.0,0.67,46.0,8,11,LOW,45.3
403,chemical_leak,0,0,0,0,1,1,0,0,3.0,0.0,0.49,166.0,25,57,HIGH,79.6
404,fire,0,0,1,0,1,0,0,0,2.0,0.0,0.59,96.0,11,72,HIGH,57.7
405,medical_emergency,0,0,0,1,0,0,0,0,1.0,0.0,0.67,98.0,17,27,LOW,45.1
406,power_outage,1,0,1,0,0,0,0,0,3.0,0.0,0.61,137.0,9,100,CRITICAL,81.4
407,fire,1,0,1,0,0,0,0,0,2.0,0.0,,113.0,10,100,CRITICAL,67.4
408,industrial_accident,0,1,0,1,0,1,0,0,2.0,,0.82,72.0,23,100,CRITICAL,72.3
409,building_collapse,0,1,0,0,1,0,1,0,3.0,0.0,0.97,46.0,14,100,CRITICAL,100.0
410,flood,0,0,0,0,0,0,0,0,3.0,1.0,0.6,63.0,9,0,LOW,100.0
411,flood,1,0,0,0,0,0,0,0,,0.0,0.91,133.0,25,51,MEDIUM,52.6
412,chemical_leak,0,0,0,0,0,1,0,0,2.0,0.0,0.88,87.0,9,52,HIGH,83.0
413,fire,0,0,1,1,0,1,0,1,1.0,1.0,0.91,52.0,12,100,CRITICAL,88.7
414,flood,0,1,0,0,1,0,0,0,1.0,1.0,0.88,,17,50,MEDIUM,86.0
415,flood,0,1,0,0,1,0,0,0,,1.0,0.83,134.0,19,51,MEDIUM,74.0
416,building_collapse,1,1,0,0,0,0,0,0,2.0,0.0,0.57,93.0,15,85,CRITICAL,63.7
417,chemical_leak,1,1,0,1,1,1,0,0,2.0,0.0,0.78,93.0,10,100,CRITICAL,67.3
418,industrial_accident,0,0,0,0,0,1,0,0,1.0,0.0,0.73,,21,50,MEDIUM,54.1
419,flood,0,0,0,1,0,0,0,0,2.0,0.0,0.99,57.0,13,24,LOW,84.7
420,chemical_leak,0,0,0,0,0,1,0,0,1.0,0.0,1.0,44.0,13,46,MEDIUM,64.1
421,fire,0,0,1,0,1,0,0,1,1.0,0.0,,175.0,7,97,CRITICAL,40.5
422,power_outage,1,0,0,0,0,0,0,0,2.0,0.0,0.6,31.0,15,41,MEDIUM,67.9
423,flood,0,0,0,0,1,0,1,1,2.0,0.0,0.78,,10,92,CRITICAL,71.9
424,chemical_leak,0,0,0,0,1,1,0,0,2.0,1.0,0.77,100.0,11,65,HIGH,86.6
425,fire,1,0,1,1,0,0,0,0,1.0,1.0,1.0,112.0,56,100,CRITICAL,76.5
426,fire,0,1,1,0,0,0,0,0,2.0,0.0,0.83,142.0,7,91,CRITICAL,64.9
427,fire,0,1,1,0,0,0,0,0,3.0,0.0,0.49,57.0,8,87,CRITICAL,81.2
428,road_blockage,1,0,0,0,0,0,0,0,1.0,0.0,0.78,66.0,8,44,MEDIUM,52.9
429,chemical_leak,0,0,0,0,1,1,0,0,3.0,1.0,0.87,9.0,17,65,HIGH,100.0
430,flood,0,1,0,0,0,1,1,0,3.0,0.0,0.69,51.0,11,100,CRITICAL,90.3
431,fire,1,0,0,0,0,0,0,0,1.0,1.0,0.58,78.0,7,49,MEDIUM,71.6
432,road_blockage,0,0,0,0,0,0,0,1,2.0,0.0,0.86,108.0,9,32,MEDIUM,73.4
433,power_outage,1,0,0,0,1,0,0,0,1.0,0.0,0.99,72.0,15,70,HIGH,64.6
434,road_blockage,0,0,0,0,0,0,0,0,3.0,1.0,0.3,101.0,29,0,LOW,100.0
435,flood,1,0,0,0,0,0,0,1,3.0,0.0,0.78,173.0,11,78,HIGH,81.5
436,industrial_accident,0,0,0,1,0,1,0,0,2.0,,0.68,116.0,9,73,CRITICAL,76.8
437,medical_emergency,0,0,0,0,0,0,0,0,2.0,0.0,1.0,104.0,3,0,LOW,87.4
438,building_collapse,1,0,0,0,0,0,1,0,3.0,0.0,,21.0,13,91,CRITICAL,100.0
439,road_blockage,0,0,1,0,0,0,0,0,1.0,0.0,0.59,113.0,14,42,MEDIUM,46.4
440,fire,0,0,1,0,0,0,0,0,3.0,0.0,0.54,15.0,9,56,HIGH,89.2
441,building_collapse,0,0,0,0,0,0,1,1,,1.0,0.91,165.0,51,80,CRITICAL,93.7
442,chemical_leak,0,1,0,0,0,1,0,0,1.0,0.0,,128.0,6,88,CRITICAL,44.3
443,road_blockage,0,1,0,0,0,0,0,0,1.0,1.0,0.6,44.0,13,25,LOW,76.4
444,power_outage,1,0,0,0,0,0,1,0,1.0,0.0,0.99,,5,100,CRITICAL,58.1
445,building_collapse,0,1,0,0,0,0,1,0,2.0,0.0,0.99,30.0,7,93,CRITICAL,87.6
446,chemical_leak,0,0,0,0,0,1,1,1,3.0,0.0,1.0,58.0,8,100,CRITICAL,92.5
447,building_collapse,0,0,0,0,0,0,1,0,2.0,0.0,,99.0,8,57,HIGH,78.0
448,chemical_leak,0,1,0,0,0,1,0,0,1.0,0.0,0.56,132.0,15,73,HIGH,36.1
449,fire,0,0,1,0,1,0,0,0,1.0,0.0,0.84,171.0,13,68,HIGH,45.6
450,chemical_leak,1,0,0,0,0,1,0,0,3.0,0.0,0.58,171.0,15,93,CRITICAL,78.7
451,power_outage,0,1,0,0,0,0,0,0,3.0,0.0,0.91,176.0,7,41,MEDIUM,83.6
452,building_collapse,0,0,0,0,1,0,1,1,2.0,1.0,0.91,5.0,11,100,CRITICAL,100.0
453,building_collapse,0,0,0,0,0,0,1,0,1.0,1.0,1.0,44.0,8,58,HIGH,74.8
454,flood,0,1,0,0,0,0,0,0,1.0,0.0,0.58,128.0,9,54,MEDIUM,44.5
455,medical_emergency,0,1,0,0,0,0,0,0,3.0,0.0,0.5,151.0,7,44,HIGH,80.8
456,medical_emergency,0,0,0,0,0,0,1,0,3.0,0.0,1.0,152.0,10,63,HIGH,97.9
457,fire,0,0,1,0,0,0,0,0,2.0,0.0,0.57,,14,45,MEDIUM,59.9
458,building_collapse,0,0,0,0,0,0,1,0,1.0,0.0,0.89,111.0,5,56,MEDIUM,52.6
459,medical_emergency,1,1,0,1,0,0,0,1,3.0,0.0,0.9,143.0,9,100,CRITICAL,97.3
460,road_blockage,1,0,0,0,1,0,0,0,3.0,0.0,0.92,162.0,7,63,HIGH,85.8
461,fire,0,0,1,0,0,0,0,0,1.0,0.0,0.74,73.0,15,44,MEDIUM,50.9
462,road_blockage,1,0,1,0,1,0,0,0,2.0,0.0,,52.0,12,100,CRITICAL,64.9
463,chemical_leak,0,0,0,0,0,1,0,0,2.0,1.0,0.88,130.0,13,48,MEDIUM,95.3
464,road_blockage,0,1,0,0,0,0,0,0,2.0,1.0,0.83,105.0,41,36,MEDIUM,97.5
465,industrial_accident,0,0,0,0,0,1,0,1,2.0,,0.46,119.0,21,68,HIGH,86.2
466,chemical_leak,0,1,0,1,1,1,0,0,1.0,0.0,0.52,159.0,8,100,CRITICAL,47.1
467,medical_emergency,0,0,0,0,1,0,0,0,2.0,0.0,0.66,136.0,10,12,LOW,57.1
468,industrial_accident,0,0,0,0,1,1,0,1,3.0,1.0,0.95,57.0,16,82,CRITICAL,100.0
469,power_outage,0,0,1,0,0,0,0,0,3.0,1.0,0.46,27.0,9,63,HIGH,100.0
470,medical_emergency,0,0,0,0,0,0,0,0,3.0,0.0,0.72,61.0,9,1,LOW,82.3
471,power_outage,0,0,1,0,0,0,0,0,1.0,0.0,0.65,30.0,23,54,MEDIUM,54.7
472,road_blockage,0,0,1,0,1,1,0,0,2.0,0.0,0.94,172.0,9,100,CRITICAL,75.8
473,chemical_leak,0,1,0,0,1,0,0,0,2.0,0.0,0.68,68.0,13,55,MEDIUM,76.7
474,medical_emergency,0,0,0,1,0,0,0,1,2.0,0.0,0.75,108.0,23,56,HIGH,68.7
475,industrial_accident,0,0,0,0,0,1,0,0,3.0,1.0,0.63,58.0,51,33,MEDIUM,100.0
476,building_collapse,0,0,0,0,1,0,1,0,1.0,0.0,0.86,138.0,8,92,CRITICAL,40.3
477,fire,0,1,1,0,0,0,0,0,3.0,0.0,0.7,133.0,9,100,CRITICAL,83.7
478,fire,0,0,1,0,1,0,0,0,1.0,0.0,0.33,175.0,9,67,HIGH,29.0
479,flood,1,0,0,1,1,0,0,0,2.0,1.0,0.42,65.0,2,97,CRITICAL,86.5
480,road_blockage,0,0,0,0,1,0,0,0,1.0,0.0,0.78,74.0,8,25,LOW,51.6
481,chemical_leak,0,0,0,0,1,1,0,0,1.0,1.0,,56.0,17,69,HIGH,72.3
482,road_blockage,0,0,0,0,0,0,0,0,3.0,0.0,0.82,140.0,15,0,LOW,90.5
483,medical_emergency,0,1,1,0,1,0,0,0,3.0,0.0,0.62,101.0,10,100,CRITICAL,85.1
484,flood,0,0,0,0,0,0,1,0,1.0,0.0,0.61,118.0,46,58,HIGH,35.9
485,building_collapse,0,1,0,0,1,0,1,1,3.0,0.0,0.4,91.0,11,100,CRITICAL,71.8
486,industrial_accident,0,1,0,0,0,1,0,0,2.0,0.0,0.79,64.0,37,72,HIGH,67.1
487,industrial_accident,1,0,0,1,1,1,0,0,2.0,1.0,0.85,95.0,15,100,CRITICAL,93.6
488,fire,1,1,1,0,1,0,0,0,3.0,1.0,0.87,86.0,5,100,CRITICAL,100.0
489,chemical_leak,0,0,0,0,0,1,0,1,3.0,0.0,0.69,158.0,10,73,HIGH,73.1
490,medical_emergency,1,0,0,0,1,0,0,0,1.0,0.0,0.25,88.0,9,71,HIGH,19.3
491,building_collapse,0,0,0,0,0,1,1,0,2.0,1.0,0.65,21.0,9,100,CRITICAL,100.0
492,medical_emergency,0,1,0,0,0,0,0,0,1.0,0.0,0.77,134.0,14,40,MEDIUM,36.0
493,chemical_leak,0,1,0,0,1,1,0,0,3.0,1.0,1.0,31.0,16,100,CRITICAL,100.0
494,medical_emergency,1,0,0,0,0,0,0,0,3.0,0.0,0.42,133.0,12,50,MEDIUM,70.9
495,industrial_accident,1,1,1,0,1,1,0,0,,1.0,0.63,32.0,8,100,CRITICAL,100.0
496,flood,0,0,0,0,0,0,0,0,1.0,1.0,0.83,77.0,7,0,LOW,69.7
497,medical_emergency,0,1,0,0,1,0,0,0,1.0,0.0,0.72,94.0,6,58,HIGH,54.3
498,flood,0,0,0,0,0,0,0,0,2.0,1.0,0.59,82.0,13,0,LOW,95.7
499,industrial_accident,0,0,0,0,0,1,0,1,3.0,0.0,0.61,27.0,9,79,CRITICAL,85.7
500,industrial_accident,0,0,0,0,0,1,0,0,1.0,0.0,0.76,44.0,17,57,HIGH,53.9
501,building_collapse,1,0,0,0,1,1,1,0,2.0,0.0,0.55,176.0,3,100,CRITICAL,56.7
502,power_outage,0,1,0,0,0,0,0,0,2.0,1.0,0.93,50.0,11,38,MEDIUM,100.0
503,industrial_accident,1,0,0,0,0,1,0,0,1.0,1.0,0.81,54.0,13,100,CRITICAL,81.6
504,flood,0,1,0,0,0,0,0,0,2.0,0.0,0.88,112.0,25,48,MEDIUM,79.3
505,flood,1,0,0,0,0,0,0,0,3.0,0.0,,65.0,10,58,HIGH,96.7
506,fire,0,1,1,0,1,0,0,0,2.0,0.0,1.0,145.0,11,100,CRITICAL,70.9
507,industrial_accident,0,0,0,0,0,1,0,0,1.0,,1.0,86.0,8,30,MEDIUM,86.0
508,power_outage,0,0,0,0,0,0,0,0,1.0,0.0,0.43,128.0,12,2,LOW,41.2
509,building_collapse,0,0,0,0,0,0,1,0,2.0,1.0,1.0,49.0,8,59,HIGH,100.0
510,power_outage,0,0,0,0,1,0,0,0,3.0,0.0,0.5,36.0,6,20,LOW,83.4
511,medical_emergency,0,0,0,0,1,0,0,0,1.0,1.0,0.68,79.0,19,20,LOW,70.7
512,flood,1,1,0,0,0,0,0,0,1.0,1.0,0.66,,11,85,CRITICAL,72.6
513,building_collapse,0,0,0,1,1,0,1,0,3.0,0.0,0.97,,10,95,CRITICAL,97.5
514,medical_emergency,0,0,0,0,0,0,0,0,1.0,0.0,0.9,42.0,5,0,LOW,58.1
515,industrial_accident,0,1,1,0,1,1,0,0,2.0,1.0,0.51,38.0,25,100,CRITICAL,93.8
516,power_outage,1,0,1,1,0,0,0,0,2.0,1.0,0.54,52.0,12,100,CRITICAL,92.1
517,medical_emergency,0,0,0,0,0,0,0,0,1.0,1.0,0.89,25.0,17,6,LOW,83.8
518,industrial_accident,1,0,0,0,0,1,0,0,1.0,0.0,0.87,58.0,14,93,CRITICAL,58.8
519,medical_emergency,0,1,0,1,1,0,0,0,3.0,0.0,0.71,2.0,7,90,CRITICAL,90.8
520,building_collapse,1,1,0,0,1,0,1,0,3.0,1.0,1.0,10.0,11,100,CRITICAL,100.0
521,power_outage,0,0,0,0,0,0,0,0,2.0,1.0,0.89,67.0,9,0,LOW,100.0
